Date,Open,High,Low,Close,Adj Close,Volume
29-Jun-10,1.27,1.67,1.17,1.59,1.59,281494500
30-Jun-10,1.72,2.03,1.55,1.59,1.59,257806500
1-Jul-10,1.67,1.73,1.35,1.46,1.46,123282000
2-Jul-10,1.53,1.54,1.25,1.28,1.28,77097000
6-Jul-10,1.33,1.33,1.06,1.07,1.07,103003500
7-Jul-10,1.09,1.11,1,1.05,1.05,103825500
8-Jul-10,1.08,1.17,1.04,1.16,1.16,115671000
9-Jul-10,1.17,1.19,1.1,1.16,1.16,60759000
12-Jul-10,1.2,1.2,1.13,1.14,1.14,33037500
13-Jul-10,1.16,1.24,1.13,1.21,1.21,40201500
14-Jul-10,1.2,1.34,1.18,1.32,1.32,62928000
15-Jul-10,1.33,1.43,1.27,1.33,1.33,56097000
16-Jul-10,1.38,1.42,1.34,1.38,1.38,39319500
19-Jul-10,1.42,1.48,1.39,1.46,1.46,37297500
20-Jul-10,1.46,1.46,1.34,1.35,1.35,27379500
21-Jul-10,1.38,1.39,1.3,1.35,1.35,18787500
22-Jul-10,1.37,1.42,1.36,1.4,1.4,14367000
23-Jul-10,1.41,1.44,1.4,1.42,1.42,9804000
26-Jul-10,1.43,1.43,1.35,1.4,1.4,13833000
27-Jul-10,1.39,1.41,1.35,1.37,1.37,9295500
28-Jul-10,1.37,1.39,1.37,1.38,1.38,7008000
29-Jul-10,1.38,1.39,1.33,1.36,1.36,9240000
30-Jul-10,1.35,1.36,1.3,1.33,1.33,6403500
2-Aug-10,1.37,1.4,1.36,1.39,1.39,10771500
3-Aug-10,1.4,1.46,1.39,1.46,1.46,18457500
4-Aug-10,1.46,1.48,1.39,1.42,1.42,13695000
5-Aug-10,1.44,1.44,1.34,1.36,1.36,11943000
6-Aug-10,1.34,1.34,1.3,1.31,1.31,11128500
9-Aug-10,1.33,1.33,1.3,1.31,1.31,12190500
10-Aug-10,1.31,1.31,1.25,1.27,1.27,19219500
11-Aug-10,1.25,1.26,1.19,1.19,1.19,11964000
12-Aug-10,1.19,1.19,1.16,1.17,1.17,10365000
13-Aug-10,1.21,1.23,1.18,1.22,1.22,9510000
16-Aug-10,1.23,1.25,1.22,1.25,1.25,7287000
17-Aug-10,1.26,1.29,1.25,1.28,1.28,6718500
18-Aug-10,1.31,1.31,1.24,1.25,1.25,9019500
19-Aug-10,1.24,1.28,1.22,1.25,1.25,8686500
20-Aug-10,1.24,1.27,1.23,1.27,1.27,4440000
23-Aug-10,1.27,1.36,1.27,1.34,1.34,16321500
24-Aug-10,1.28,1.31,1.26,1.28,1.28,10096500
25-Aug-10,1.28,1.33,1.24,1.33,1.33,7549500
26-Aug-10,1.33,1.35,1.31,1.32,1.32,6507000
27-Aug-10,1.32,1.32,1.3,1.31,1.31,5694000
30-Aug-10,1.31,1.35,1.31,1.32,1.32,10992000
31-Aug-10,1.31,1.32,1.29,1.3,1.3,3016500
1-Sep-10,1.31,1.38,1.31,1.36,1.36,7423500
2-Sep-10,1.36,1.42,1.35,1.4,1.4,7306500
3-Sep-10,1.39,1.42,1.38,1.4,1.4,6519000
7-Sep-10,1.37,1.4,1.37,1.37,1.37,3651000
8-Sep-10,1.38,1.4,1.37,1.39,1.39,4326000
9-Sep-10,1.4,1.4,1.38,1.38,1.38,5643000
10-Sep-10,1.38,1.4,1.32,1.34,1.34,5799000
13-Sep-10,1.39,1.39,1.37,1.38,1.38,5412000
14-Sep-10,1.37,1.44,1.37,1.41,1.41,9820500
15-Sep-10,1.4,1.47,1.39,1.47,1.47,10269000
16-Sep-10,1.48,1.54,1.39,1.4,1.4,40267500
17-Sep-10,1.4,1.42,1.32,1.35,1.35,17977500
20-Sep-10,1.38,1.42,1.34,1.4,1.4,14212500
21-Sep-10,1.39,1.44,1.38,1.38,1.38,11940000
22-Sep-10,1.39,1.4,1.32,1.32,1.32,14443500
23-Sep-10,1.33,1.34,1.3,1.3,1.3,10021500
24-Sep-10,1.33,1.35,1.31,1.34,1.34,8683500
27-Sep-10,1.36,1.39,1.34,1.37,1.37,6279000
28-Sep-10,1.4,1.43,1.38,1.43,1.43,18217500
29-Sep-10,1.41,1.47,1.41,1.47,1.47,29539500
30-Sep-10,1.47,1.48,1.35,1.36,1.36,32937000
1-Oct-10,1.38,1.38,1.35,1.37,1.37,8965500
4-Oct-10,1.36,1.41,1.35,1.4,1.4,9654000
5-Oct-10,1.41,1.42,1.4,1.41,1.41,4980000
6-Oct-10,1.4,1.42,1.35,1.36,1.36,4701000
7-Oct-10,1.37,1.38,1.36,1.36,1.36,2115000
8-Oct-10,1.36,1.39,1.36,1.36,1.36,4017000
11-Oct-10,1.36,1.38,1.34,1.35,1.35,2568000
12-Oct-10,1.35,1.35,1.34,1.35,1.35,3660000
13-Oct-10,1.38,1.39,1.36,1.37,1.37,4773000
14-Oct-10,1.4,1.4,1.36,1.38,1.38,4422000
15-Oct-10,1.39,1.39,1.35,1.37,1.37,4270500
18-Oct-10,1.37,1.38,1.35,1.35,1.35,2442000
19-Oct-10,1.35,1.36,1.33,1.34,1.34,3678000
20-Oct-10,1.34,1.38,1.34,1.38,1.38,4687500
21-Oct-10,1.37,1.4,1.36,1.38,1.38,6256500
22-Oct-10,1.38,1.4,1.37,1.38,1.38,2416500
25-Oct-10,1.4,1.4,1.38,1.39,1.39,1777500
26-Oct-10,1.39,1.46,1.37,1.42,1.42,9913500
27-Oct-10,1.42,1.43,1.38,1.4,1.4,5347500
28-Oct-10,1.43,1.43,1.4,1.41,1.41,3363000
29-Oct-10,1.41,1.46,1.4,1.46,1.46,4209000
1-Nov-10,1.46,1.52,1.42,1.43,1.43,6837000
2-Nov-10,1.45,1.46,1.4,1.42,1.42,4837500
3-Nov-10,1.42,1.5,1.41,1.45,1.45,5589000
4-Nov-10,1.51,1.69,1.48,1.66,1.66,28110000
5-Nov-10,1.66,1.66,1.58,1.63,1.63,15165000
8-Nov-10,1.63,1.67,1.6,1.67,1.67,7642500
9-Nov-10,1.67,1.71,1.6,1.64,1.64,14346000
10-Nov-10,1.63,2,1.6,1.96,1.96,45907500
11-Nov-10,1.91,1.94,1.82,1.87,1.87,29179500
12-Nov-10,1.88,2.03,1.87,1.99,1.99,40936500
15-Nov-10,2.01,2.2,2.01,2.05,2.05,39343500
16-Nov-10,2.07,2.09,1.89,1.98,1.98,20214000
17-Nov-10,2.01,2.05,1.91,1.97,1.97,11250000
18-Nov-10,2.04,2.05,1.93,1.99,1.99,14341500
19-Nov-10,2.01,2.09,1.98,2.07,2.07,17257500
22-Nov-10,2.1,2.23,2.1,2.23,2.23,22945500
23-Nov-10,2.22,2.38,2.15,2.3,2.3,23667000
24-Nov-10,2.35,2.4,2.29,2.36,2.36,21375000
26-Nov-10,2.37,2.4,2.32,2.35,2.35,5259000
29-Nov-10,2.36,2.4,2.22,2.29,2.29,17184000
30-Nov-10,2.25,2.36,2.23,2.36,2.36,33339000
1-Dec-10,2.39,2.43,2.23,2.29,2.29,19488000
2-Dec-10,2.27,2.29,2.08,2.16,2.16,30105000
3-Dec-10,2.13,2.15,2.06,2.1,2.1,17401500
6-Dec-10,2.09,2.1,1.97,2.02,2.02,19116000
7-Dec-10,2.03,2.16,2,2.1,2.1,19669500
8-Dec-10,2.17,2.17,2.1,2.16,2.16,9900000
9-Dec-10,2.17,2.18,2.11,2.14,2.14,6090000
10-Dec-10,2.14,2.19,2.08,2.1,2.1,6441000
13-Dec-10,2.11,2.12,2.03,2.04,2.04,6156000
14-Dec-10,2.02,2.03,1.85,1.9,1.9,26485500
15-Dec-10,1.91,2,1.9,1.97,1.97,11143500
16-Dec-10,2,2.06,1.98,2.05,2.05,11851500
17-Dec-10,2.09,2.1,2.05,2.09,2.09,12195000
20-Dec-10,2.11,2.15,2.08,2.11,2.11,7851000
21-Dec-10,2.12,2.18,2.11,2.15,2.15,11665500
22-Dec-10,2.15,2.19,2.11,2.18,2.18,12499500
23-Dec-10,2.08,2.17,1.99,2.01,2.01,23289000
27-Dec-10,1.87,1.91,1.67,1.7,1.7,139528500
28-Dec-10,1.72,1.78,1.67,1.76,1.76,60844500
29-Dec-10,1.8,1.87,1.77,1.85,1.85,49788000
30-Dec-10,1.85,1.86,1.76,1.77,1.77,30616500
31-Dec-10,1.77,1.82,1.77,1.78,1.78,21268500
3-Jan-11,1.79,1.8,1.73,1.77,1.77,19245000
4-Jan-11,1.78,1.8,1.73,1.78,1.78,17811000
5-Jan-11,1.77,1.79,1.75,1.79,1.79,21700500
6-Jan-11,1.79,1.87,1.79,1.86,1.86,30918000
7-Jan-11,1.87,1.91,1.86,1.88,1.88,33718500
10-Jan-11,1.88,1.91,1.87,1.9,1.9,20140500
11-Jan-11,1.91,1.91,1.79,1.8,1.8,25653000
12-Jan-11,1.8,1.83,1.77,1.8,1.8,14466000
13-Jan-11,1.8,1.8,1.74,1.75,1.75,10854000
14-Jan-11,1.74,1.77,1.71,1.72,1.72,17880000
18-Jan-11,1.7,1.71,1.65,1.71,1.71,24325500
19-Jan-11,1.68,1.7,1.58,1.6,1.6,35572500
20-Jan-11,1.6,1.63,1.49,1.51,1.51,34198500
21-Jan-11,1.54,1.57,1.51,1.54,1.54,18255000
24-Jan-11,1.57,1.65,1.55,1.63,1.63,24676500
25-Jan-11,1.64,1.66,1.6,1.65,1.65,19072500
26-Jan-11,1.65,1.66,1.61,1.65,1.65,16198500
27-Jan-11,1.65,1.67,1.64,1.66,1.66,13435500
28-Jan-11,1.66,1.66,1.58,1.6,1.6,15726000
31-Jan-11,1.6,1.61,1.57,1.61,1.61,12454500
1-Feb-11,1.62,1.65,1.57,1.59,1.59,10617000
2-Feb-11,1.61,1.61,1.58,1.6,1.6,8542500
3-Feb-11,1.59,1.59,1.54,1.58,1.58,7680000
4-Feb-11,1.56,1.58,1.55,1.56,1.56,8160000
7-Feb-11,1.55,1.55,1.53,1.54,1.54,13426500
8-Feb-11,1.59,1.68,1.53,1.63,1.63,52573500
9-Feb-11,1.61,1.61,1.52,1.55,1.55,39534000
10-Feb-11,1.55,1.58,1.52,1.55,1.55,12541500
11-Feb-11,1.55,1.58,1.53,1.55,1.55,9517500
14-Feb-11,1.58,1.61,1.54,1.54,1.54,19246500
